href,title,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/hoa-don-lap-sai-thoi-diem-co-duoc-dua-vao-chi-phi.html,Hóa đơn xuất sai thời điểm có được khấu trừ thuế GTGT,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/hoa-don-quang-cao-tiktok-ads-duoc-tru-khi-tinh-thue-tndn.html,Chi phí quảng cáo trên Tiktok có được trừ khi tính thuế TNDN không? Có được khấu trừ thuế GTGT đầu vào không?,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/hoa-don-viet-sai-so-tien-bang-chu.html,Hóa đơn sai số tiền bằng chữ xử lý thế nào?,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/hoa-don-xuat-cung-mot-ngay-co-gia-tri-tren-20-trieu.html,Hoá đơn xuất cùng một ngày có giá trị > 20 triệu có được khấu trừ,gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/hoan-thue-doi-voi-hang-hoa-dich-vu-chiu-thue-suat-thue-gtgt-5.html,"Hoàn thuế đối với hàng hóa, dịch vụ chịu thuế suất thuế GTGT 5%",gtgt-hoa-don,GTGT - Hóa đơn,khau-tru-hoan-thue,Khấu trừ/Hoàn thuế,rule-khautru
thu-vien/huong-dan-cach-dang-ky-nop-thue-dien-tu.html,Cách đăng ký và nộp Tiền thuế điện tử qua mạng mới nhất.,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/huong-dan-cach-hach-toan-hoa-don-ve-truoc-hang-ve-sau.html,Hướng dẫn cách hạch toán hóa đơn về trước hàng về sau,gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/huong-dan-cach-ke-khai-bo-sung-dieu-chinh-thue-gtgt.html,Hướng dẫn kê khai bổ sung điều chỉnh thuế GTGT mới nhất 2026,gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
thu-vien/huong-dan-cach-xuat-hoa-don-dien-tu.html,"Cách xuất hóa đơn điện tử theo nghị định 70/2025, Thông tư 32/2025",gtgt-hoa-don,GTGT - Hóa đơn,hoa-don-dien-tu,Hóa đơn điện tử,rule-hddt
thu-vien/huong-dan-gia-han-nop-thue-gtgt-va-tndn.html,"Gia hạn nộp thuế 2023 theo Nghị định 12: Thuế GTGT, TNDN",gtgt-hoa-don,GTGT - Hóa đơn,lap-xu-ly-hoa-don,Lập/Xử lý hóa đơn,fallback-laphoadon
thu-vien/huong-dan-ke-khai-hoa-don-bi-bo-sot.html,"Cách kê khai hóa đơn đầu vào bị bỏ sót, đầu ra bỏ sót 2026",gtgt-hoa-don,GTGT - Hóa đơn,ke-khai-gtgt,Kê khai GTGT,rule-kekhai
