href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cong-van-4943-tct-kk-ke-khai-bo-sung-hoa-don-dieu-chinh.html,"Công văn 4943/TCT-KK Hướng dẫn kê khai bổ sung, hóa đơn điều chỉnh",thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-5189-tct-cs-nhung-noi-dung-moi-cua-nghi-dinh-126.html,Công văn 5189/TCT-CS Những nội dung mới của Nghị định 126,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-5286-ct-tncn-huong-dan-quyet-toan-thue-tncn-2016.html,Công văn 5286/CT-TNCN hướng dẫn Quyết toán thuế TNCN 2016,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
thu-vien/cong-van-5485-btc-tct-dang-ky-ke-khai-thue-theo-pp-khau-tru.html,Công văn 5485/BTC-TCT đăng ký kê khai thuế theo pp khấu trừ,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-624-tct-cs-tiep-nhan-ho-so-dang-ky-ke-khai-thue-gtgt.html,Công văn 624/TCT – CS tiếp nhận hồ sơ đăng ký kê khai thuế GTGT theo mẫu số 06/GTGT,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-7040-ct-tncn-huong-dan-quyet-toan-thue-tncn-2018.html,Công văn 7040/CT-TNCN Hướng dẫn Quyết toán thuế TNCN 2018,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
thu-vien/cong-van-767-tct-cs-gioi-thieu-noi-dung-moi-thong-tu-26.html,Công văn 767/TCT-CS giới thiệu nội dung mới của Thông tư 26/2015/TT-BTC,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-786-tct-cs-ca-nhan-gop-von-duoc-dung-tien-mat.html,Công văn 786/TCT-CS Cá nhân góp vốn có thể dùng tiền mặt,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-801-tct-tncn-ngay-2-3-2016-huong-dan-quyet-toan-thue-tncn.html,Công văn 801/TCT- TNCN Hướng dẫn quyết toán thuế TNCN năm 2015,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
thu-vien/cong-van-845-tct-cntt-ke-hach-nang-cap-htkk-dap-ung-133.html,Công văn 845/TCT-CNTT kế hoạch nâng cấp HTKK đáp ứng TT 133,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-897-tct-qln-ve-viec-gia-han-nop-thue-do-covid.html,Công văn 897/TCT-QLN về việc gia hạn nộp thuế do Covid,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-giai-trinh-nop-lai-bao-cao-tai-chinh.html,Mẫu Công văn giải trình nộp lại Báo cáo tài chính,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-huong-dan-ke-khai-hoa-don-dieu-chinh-hoa-don-thay-the.html,"Công văn hướng dẫn kê khai hóa đơn điều chỉnh, thay thế, bỏ sót",thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-huong-dan-quyet-toan-thue-tncn-2026.html,Công văn hướng dẫn quyết toán thuế TNCN 2026 cho năm 2025,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
