href,title,libraryKindLabel,from_topicLv1Key,from_topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv1Key,to_topicLv1Label,reason
thu-vien/cong-van-so-586-tct-cs-tuyen-truyen-chinh-sach-thue-gtgt.html,Công văn số 586/TCT-CS tuyên truyền chính sách thuế GTGT,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-7527-btc-tct-thanh-tra-kiem-tra-thue-cac-dn.html,"Công văn Số 7527/BTC-TCT thanh tra, kiểm tra thuế đối với các doanh nghiệp",Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-7924-btc-tchq-lam-thu-tuc-xuat-khau-quyet-toan-thue.html,"Công văn Số 7924/BTC-TCHQ làm thủ tục xuất khẩu, quyết toán thuế",Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-so-9531-ct-thnvdt-tinh-thue-gtgt-theo-phuong-phap-truc-tiep.html,Công văn số 9531/CT-THNVDT tính thuế GTGT theo phương pháp trực tiếp,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/cong-van-xin-dang-ky-thang-bang-luong-gui-phong-lao-dong.html,Công văn đăng ký Thang bảng lương mới nhất,Văn bản,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,lv2-default-tax-official-letter
thu-vien/luat-106-2016-qh13-bo-sung-luat-thue-gtgt-quan-ly-thue-ttdb.html,"Luật 106/2016/QH13 sửa đổi, bổ sung Luật thuế GTGT, TTĐB và Quản lý thuế",Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-107-2016-qh13-luat-thue-xuat-nhap-khau.html,Luật 107/2016/QH13 Luật thuế Xuất Nhập khẩu,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-bao-hiem-xa-hoi-luat-so-58-2014-qh13.html,Luật Bảo Hiểm Xã Hội - Luật số 58/2014/QH13,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-bao-hiem-xa-hoi-moi-nhat.html,Luật bảo hiểm xã hội 2025 mới nhất số 41/2024/QH15,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/luat-bao-hiem-y-te-sua-doi-moi-nhat-2025-so-51-2024-qh15.html,Luật bảo hiểm y tế sửa đổi mới nhất 2025 số 51/2024/QH15,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/luat-cong-doan-moi-nhat.html,Luật công đoàn 2012 (Luật số: 12/2012/QH13),Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/luat-cong-doan-so-50-2024-qh15.html,Luật công đoàn số 50/2024/QH15 mới nhất năm 2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/luat-doanh-nghiep-so-59-2020-qh14-ngay-17-06-2020.html,Luật Doanh nghiệp số 59/2020/QH14 ngày 17/06/2020,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,title-override-dn
thu-vien/luat-ke-toan-luat-so-88-2015-qh13.html,Luật Kế toán - Luật số 88/2015/QH13,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,ke-toan,Kế toán,title-override-ketoan
thu-vien/luat-lam-viec-luat-so-38-2013-qh13.html,Luật số 38/2013/QH13 - Luật làm việc,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-quan-ly-thue-so-108-2025-qh15-hieu-luc-tu-01-07-2026.html,Luật Quản lý thuế số 108/2025/QH15 hiệu lực từ 01/07/2026,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-quan-ly-thue-so-38-2019-moi-nhat.html,Luật Quản lý thuế số 38/2019/QH14 mới nhất,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-so-31-2013-qh13-sua-doi-bo-sung-luat-thue-gtgt.html,Luật số 31/2013/QH13 Sửa đổi bổ sung Luật Thuế GTGT,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-so-46-2014-qh13-sua-doi-bo-sung-luat-bao-hiem-y-te.html,"Luật số 46/2014/QH13 - Sửa đổi, bổ sung Luật Bảo hiểm y tế",Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-so-68-2014-qh13-luat-doanh-nghiep-2015.html,Luật Doanh nghiệp - Luật số 68/2014/QH13,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-so-71-2014-qh13-sua-doi-bo-sung-cac-luat-ve-thue.html,Luật sửa đổi bổ sung các luật về Thuế số 71/2014/QH13,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-gia-tri-gia-tang-hop-nhat.html,Luật thuế giá trị gia tăng hợp nhất,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-gia-tri-gia-tang-sua-doi-so-149-2025-qh15.html,Luật Thuế giá trị gia tăng sửa đổi số 149/2025/QH15,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-gtgt-moi-nhat.html,Luật thuế GTGT 48/2024/QH15 mới nhất có hiệu lực từ 01/07/2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-thu-nhap-doanh-nghiep-so-67-2025-qh15.html,Luật Thuế thu nhập doanh nghiệp 2025 có hiệu lực từ 01/10/2025,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-thue-tncn-so-109-2025-qh15.html,Luật Thuế TNCN số 109/2025/QH15 áp dụng từ năm 2026,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lv2-default-law
thu-vien/luat-viec-lam-so-74-2025-qh15.html,Luật việc làm 2025 số 74/2025/QH15 có hiệu lực từ 01/01/2026,Văn bản,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,title-override-laodong
thu-vien/nghi-dinh-01-2021-nd-cp-quy-dinh-ve-dang-ky-doanh-nghiep.html,Nghị định 01/2021/NĐ-CP quy định về đăng ký doanh nghiệp,Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,title-override-dn
thu-vien/nghi-dinh-04-2014-nd-cp-ve-hoa-don-ban-hang-cung-ung-dich-vu.html,"Nghị định 04/2014/NĐ-CP quy định về hóa đơn bán hàng, cung ứng dịch vụ",Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
thu-vien/nghi-dinh-100-2016-nd-cp-huong-dan-luat-106-2016.html,Nghị định 100/2016/NĐ-CP Hướng dẫn thi hành Luật 106/2016/QH13,Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
thu-vien/nghi-dinh-109-2013-nd-cp-xu-phat-vi-pham-ve-hoa-don-phi-le-phi.html,"Nghị định 109/2013/NĐ-CP Xử phạt vi phạm hành chính về hóa đơn, phí, lệ phí",Văn bản,van-ban-phap-luat,Văn bản pháp luật,nghi-dinh,Nghị định,thue,Thuế - Hóa đơn,lv2-default-tax-regulation
